bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",43,0.015617872700407794,0.4186046511627907,toor
"(0.1, 0.2]",20,0.1474210506721711,0.45,toor
"(0.2, 0.3]",19,0.24629770675346074,0.42105263157894735,toor
"(0.3, 0.4]",23,0.346992730450939,0.4782608695652174,toor
"(0.4, 0.5]",13,0.45567826379301224,0.6923076923076923,toor
"(0.5, 0.6]",28,0.5458963306061254,0.6428571428571429,toor
"(0.6, 0.7]",29,0.6509657847018223,0.5517241379310345,toor
"(0.7, 0.8]",27,0.7504948709206622,0.7407407407407407,toor
"(0.8, 0.9]",27,0.8519010885505752,0.7777777777777778,toor
"(0.9, 1.0]",72,0.9724409674377217,0.5833333333333334,toor
