bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",20,0.06350676905739025,0.275,elo
"(0.1, 0.2]",46,0.14087400060268235,0.34782608695652173,elo
"(0.2, 0.3]",37,0.23649105081666377,0.4189189189189189,elo
"(0.3, 0.4]",33,0.3539069293456078,0.3939393939393939,elo
"(0.4, 0.5]",51,0.451325933266,0.4803921568627451,elo
"(0.5, 0.6]",50,0.555057746449797,0.47,elo
"(0.6, 0.7]",61,0.6489800343606192,0.5327868852459017,elo
"(0.7, 0.8]",46,0.7551892322809678,0.5978260869565217,elo
"(0.8, 0.9]",62,0.8556869288634338,0.7096774193548387,elo
"(0.9, 1.0]",78,0.951121437185301,0.8076923076923077,elo
