date,games,log_loss,brier_score,mae_margin,margin_games,model_id
2025-10-25,5.0,0.45834322540322264,0.15665774509174457,15.044972330368537,5.0,bradley_terry_hfa
2025-10-26,9.0,1.653104663903666,0.46616489848624965,9.23547690512617,9.0,bradley_terry_hfa
2025-10-27,11.0,0.890935827774101,0.2783573437499303,13.152672911177559,11.0,bradley_terry_hfa
2025-10-28,5.0,0.43110206568354503,0.14958589831474836,11.14225280844757,5.0,bradley_terry_hfa
2025-10-29,10.0,1.2342047570498735,0.372901246867392,10.414871353330321,10.0,bradley_terry_hfa
2025-10-30,4.0,0.8795089821478239,0.2579470718784952,11.542025898492238,4.0,bradley_terry_hfa
2025-10-31,8.0,1.3269854814138948,0.3558232269279591,9.331976798521163,8.0,bradley_terry_hfa
2025-11-01,6.0,2.0251162920895562,0.46208741430932104,16.8255801123813,6.0,bradley_terry_hfa
2025-11-02,8.0,1.509375954845537,0.36416896368939594,15.909751516351447,8.0,bradley_terry_hfa
2025-11-03,9.0,0.4778570648197616,0.16626171630827866,6.060309166287426,9.0,bradley_terry_hfa
2025-11-04,6.0,0.8796437314102964,0.2621967817122729,12.478843614614982,6.0,bradley_terry_hfa
2025-11-05,11.0,1.0518466236289503,0.29257382586812114,10.692233077921648,11.0,bradley_terry_hfa
2025-11-06,1.0,0.5088931227473945,0.15907284968172009,12.589696618951024,1.0,bradley_terry_hfa
2025-11-07,11.0,0.3976021482505771,0.13323215216748127,19.62320606002117,11.0,bradley_terry_hfa
2025-11-08,8.0,0.7632551901893061,0.2902135229635159,9.413983757481063,8.0,bradley_terry_hfa
2025-11-09,7.0,0.4464452700094691,0.16267419344685832,15.856270689973712,7.0,bradley_terry_hfa
2025-11-10,9.0,0.4737292995342846,0.16216136340815274,5.756981299248799,9.0,bradley_terry_hfa
2025-11-11,6.0,0.1677797863832312,0.03857312348949075,12.325499784320684,6.0,bradley_terry_hfa
2025-11-12,12.0,0.7651815872676159,0.2502493438269831,16.463364408499515,12.0,bradley_terry_hfa
2025-11-13,3.0,0.3412059041127919,0.12187775733328121,17.505986825413014,3.0,bradley_terry_hfa
2025-11-14,9.0,0.37672510124707026,0.1223170696578981,9.094304297322132,9.0,bradley_terry_hfa
2025-11-15,5.0,0.0656348051561491,0.006482220977706546,10.890796602679519,5.0,bradley_terry_hfa
2025-11-16,8.0,1.3614568285863686,0.2684512750091043,8.533679972262092,8.0,bradley_terry_hfa
2025-11-17,8.0,0.4606984737988766,0.16927948829672718,7.121932382443811,8.0,bradley_terry_hfa
2025-11-18,6.0,0.5293369198490211,0.18434909314511502,10.243655878658556,6.0,bradley_terry_hfa
2025-11-19,9.0,0.6069758096182494,0.1698400243029196,7.057206324136921,9.0,bradley_terry_hfa
2025-11-20,4.0,0.8742315306326367,0.32681159194573284,21.576462372043526,4.0,bradley_terry_hfa
2025-11-21,9.0,1.0043639278398997,0.3450057338834409,12.758254900669218,9.0,bradley_terry_hfa
2025-11-22,7.0,0.8463241917719504,0.25111504280843605,8.510262904776562,7.0,bradley_terry_hfa
2025-11-23,8.0,0.9267452562544491,0.23755210411749517,10.087179849448141,8.0,bradley_terry_hfa
2025-11-24,10.0,1.4900350001776608,0.28490737531190113,10.494238038412107,10.0,bradley_terry_hfa
2025-11-25,3.0,3.9393639839385313,0.33888768975873895,27.671126445852508,3.0,bradley_terry_hfa
2025-11-26,9.0,0.8127452114808897,0.11406307691656077,6.669106344870823,9.0,bradley_terry_hfa
2025-11-28,11.0,1.5876375192446213,0.38352625847657557,8.90130732416596,11.0,bradley_terry_hfa
2025-11-29,8.0,2.481171763494677,0.38532983870536586,8.748697041459785,8.0,bradley_terry_hfa
2025-11-30,8.0,1.031822792973442,0.23956200670585692,9.518564605779634,8.0,bradley_terry_hfa
