bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",23,0.06256903130545115,0.2391304347826087,elo
"(0.1, 0.2]",56,0.15261785917934811,0.39285714285714285,elo
"(0.2, 0.3]",40,0.25326472487227913,0.4375,elo
"(0.3, 0.4]",32,0.36673526174845156,0.40625,elo
"(0.4, 0.5]",49,0.45285565022262214,0.4489795918367347,elo
"(0.5, 0.6]",50,0.5488016455821714,0.52,elo
"(0.6, 0.7]",62,0.6535727574846258,0.5080645161290323,elo
"(0.7, 0.8]",45,0.7617220090207218,0.6111111111111112,elo
"(0.8, 0.9]",63,0.8550226295193454,0.7301587301587301,elo
"(0.9, 1.0]",64,0.9501250378495658,0.84375,elo
