date,game_id,status,home_team,away_team,neutral,overtime,home_score,away_score,result_margin,result_total,home_rating,away_rating,home_advantage,projected_winner,projected_spread,projected_home_spread,projected_win_prob,projected_home_score,projected_away_score,projected_total
2025-10-21,2025-10-21|Golden State Warriors|Los Angeles Lakers,final,Los Angeles Lakers,Golden State Warriors,False,False,109.0,119.0,-10.0,228.0,4.984814963550581,0.8191239171999589,-2.4222766422775206,Los Angeles Lakers,-1.7434144040731012,1.7434144040731012,0.5668753306795666,116.44216174749111,114.69874734341802,231.14090909090913
2025-10-21,2025-10-21|Houston Rockets|Oklahoma City Thunder,final,Oklahoma City Thunder,Houston Rockets,False,False,125.0,124.0,1.0,249.0,11.427846652099367,4.854177867423597,4.323125985790036,Oklahoma City Thunder,-10.896794770465807,10.896794770465807,0.8431733386406116,121.07339738523291,110.17660261476709,231.25
2025-10-22,2025-10-22|Brooklyn Nets|Charlotte Hornets,final,Charlotte Hornets,Brooklyn Nets,False,False,136.0,117.0,19.0,253.0,-5.196835280815433,-5.014394269100372,3.574253617224744,Charlotte Hornets,-3.391812605509682,3.391812605509682,0.6279800403658661,116.09538546942152,112.70357286391184,228.79895833333336
2025-10-22,2025-10-22|Cleveland Cavaliers|New York Knicks,final,New York Knicks,Cleveland Cavaliers,False,False,119.0,111.0,8.0,230.0,6.363133616668737,0.16847419438047906,4.981363938720943,New York Knicks,-11.1760233610092,11.1760233610092,0.8487888455235946,123.4696961724832,112.29367281147401,235.7633689839572
2025-10-22,2025-10-22|Detroit Pistons|Chicago Bulls,final,Chicago Bulls,Detroit Pistons,False,False,115.0,111.0,4.0,226.0,-1.8746275836023327,5.973768646051718,-4.942954869314588,Detroit Pistons,12.791351098968638,-12.791351098968638,0.12190898310708878,111.71369945051568,124.50505054948432,236.21875
2025-10-22,2025-10-22|Los Angeles Clippers|Utah Jazz,final,Utah Jazz,Los Angeles Clippers,False,False,129.0,108.0,21.0,237.0,-1.825660982842028,-3.999990306820603,0.5025432392419885,Utah Jazz,-2.6768725632205634,2.6768725632205634,0.6018555498896225,119.79811370096513,117.12124113774456,236.9193548387097
2025-10-22,2025-10-22|Miami Heat|Orlando Magic,final,Orlando Magic,Miami Heat,False,False,125.0,121.0,4.0,246.0,2.534728893900602,1.701675065584123,0.8890511877268042,Orlando Magic,-1.7221050160432831,1.7221050160432831,0.5660675342233529,118.45196159893074,116.72985658288745,235.1818181818182
2025-10-22,2025-10-22|Minnesota Timberwolves|Portland Trail Blazers,final,Portland Trail Blazers,Minnesota Timberwolves,False,False,114.0,118.0,-4.0,232.0,-1.076035337885097,3.876952192229939,1.3086200786342315,Minnesota Timberwolves,3.644367451480804,-3.644367451480804,0.3629587330258232,115.79145263789596,119.43582008937676,235.22727272727272
2025-10-22,2025-10-22|New Orleans Pelicans|Memphis Grizzlies,final,Memphis Grizzlies,New Orleans Pelicans,False,False,128.0,122.0,6.0,250.0,-1.2309638034360872,-7.4123535869014905,3.173120559720777,Memphis Grizzlies,-9.35451034318618,9.35451034318618,0.8090677639717249,122.03157502453426,112.67706468134809,234.70863970588235
2025-10-22,2025-10-22|Philadelphia 76ers|Boston Celtics,final,Boston Celtics,Philadelphia 76ers,False,False,116.0,117.0,-1.0,233.0,3.266409126077347,0.4835721595788196,3.658569115746807,Boston Celtics,-6.441406082245335,6.441406082245335,0.729935772528491,117.79570304112266,111.35429695887734,229.15
