bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",25,0.043281711786850925,0.32,gssd
"(0.1, 0.2]",49,0.15119426612929615,0.2653061224489796,gssd
"(0.2, 0.3]",79,0.2517617645137904,0.3037974683544304,gssd
"(0.3, 0.4]",92,0.3506116115062126,0.44565217391304346,gssd
"(0.4, 0.5]",106,0.4503013151383926,0.5,gssd
"(0.5, 0.6]",134,0.5483982968819923,0.4925373134328358,gssd
"(0.6, 0.7]",128,0.6425038219627325,0.609375,gssd
"(0.7, 0.8]",120,0.7532063835193522,0.7083333333333334,gssd
"(0.8, 0.9]",93,0.8454916321158147,0.7849462365591398,gssd
"(0.9, 1.0]",36,0.9353177248682601,0.8055555555555556,gssd
