date,home_team,away_team,home_score,away_score,neutral,overtime,game_id,notes,status,model,home_rating,away_rating,projected_winner,projected_spread,projected_total,result_margin,result_total
10/24/2025,Los Angeles Lakers,Minnesota Timberwolves,128,110,FALSE,FALSE,2025-10-24|Minnesota Timberwolves|Los Angeles Lakers,,final,bradley-terry,3.460211333,3.203037321,Los Angeles Lakers,0.257174012,233.2969432,18,238
10/24/2025,Los Angeles Clippers,Phoenix Suns,129,102,FALSE,FALSE,2025-10-24|Phoenix Suns|Los Angeles Clippers,,final,bradley-terry,-6.022625691,1.641240049,Phoenix Suns,-7.66386574,233.2969432,27,231
10/24/2025,New Orleans Pelicans,San Antonio Spurs,116,120,FALSE,FALSE,2025-10-24|San Antonio Spurs|New Orleans Pelicans,,final,bradley-terry,-7.916221568,7.208024728,San Antonio Spurs,-15.1242463,233.2969432,-4,236
10/24/2025,Sacramento Kings,Utah Jazz,105,104,FALSE,FALSE,2025-10-24|Utah Jazz|Sacramento Kings,,final,bradley-terry,-7.119348383,-3.765361242,Utah Jazz,-3.353987141,233.2969432,1,209
10/24/2025,Dallas Mavericks,Washington Wizards,107,117,FALSE,FALSE,2025-10-24|Washington Wizards|Dallas Mavericks,,final,bradley-terry,-4.867254585,-11.11742058,Dallas Mavericks,6.250165998,233.2969432,-10,224
10/25/2025,Philadelphia 76ers,Charlotte Hornets,125,121,FALSE,FALSE,2025-10-25|Charlotte Hornets|Philadelphia 76ers,,final,bradley-terry,-0.7259986,-6.230312921,Philadelphia 76ers,5.504314321,233.2969432,4,246
10/25/2025,Orlando Magic,Chicago Bulls,98,110,FALSE,FALSE,2025-10-25|Chicago Bulls|Orlando Magic,,final,bradley-terry,1.245174867,-2.267206274,Orlando Magic,3.512381142,233.2969432,-12,208
10/25/2025,Memphis Grizzlies,Indiana Pacers,128,103,FALSE,FALSE,2025-10-25|Indiana Pacers|Memphis Grizzlies,,final,bradley-terry,-1.768083656,-11.81293649,Memphis Grizzlies,10.04485284,233.2969432,25,231
10/25/2025,Atlanta Hawks,Oklahoma City Thunder,100,117,FALSE,FALSE,2025-10-25|Oklahoma City Thunder|Atlanta Hawks,,final,bradley-terry,-2.363932593,9.811197825,Oklahoma City Thunder,-12.17513042,233.2969432,-17,217
10/25/2025,Denver Nuggets,Phoenix Suns,133,111,FALSE,FALSE,2025-10-25|Phoenix Suns|Denver Nuggets,,final,bradley-terry,5.062279444,1.641240049,Denver Nuggets,3.421039395,233.2969432,22,244
10/26/2025,Detroit Pistons,Boston Celtics,119,113,FALSE,FALSE,2025-10-26|Boston Celtics|Detroit Pistons,,final,bradley-terry,5.586114982,2.484741787,Detroit Pistons,3.101373195,233.2969432,6,232
10/26/2025,San Antonio Spurs,Brooklyn Nets,118,107,FALSE,FALSE,2025-10-26|Brooklyn Nets|San Antonio Spurs,,final,bradley-terry,7.208024728,-6.90391712,San Antonio Spurs,14.11194185,233.2969432,11,225
10/26/2025,Washington Wizards,Charlotte Hornets,113,139,FALSE,FALSE,2025-10-26|Charlotte Hornets|Washington Wizards,,final,bradley-terry,-11.11742058,-6.230312921,Charlotte Hornets,-4.887107662,233.2969432,-26,252
10/26/2025,Minnesota Timberwolves,Indiana Pacers,114,110,FALSE,FALSE,2025-10-26|Indiana Pacers|Minnesota Timberwolves,,final,bradley-terry,3.203037321,-11.81293649,Minnesota Timberwolves,15.01597381,233.2969432,4,224
10/26/2025,Sacramento Kings,Los Angeles Lakers,120,127,FALSE,FALSE,2025-10-26|Los Angeles Lakers|Sacramento Kings,,final,bradley-terry,-7.119348383,3.460211333,Los Angeles Lakers,-10.57955972,233.2969432,-7,247
10/26/2025,Cleveland Cavaliers,Milwaukee Bucks,118,113,FALSE,FALSE,2025-10-26|Milwaukee Bucks|Cleveland Cavaliers,,final,bradley-terry,-1.573435105,-5.401240434,Cleveland Cavaliers,3.827805329,233.2969432,5,231
