bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",231,0.015471796399613586,0.41774891774891776,bradley_terry_hfa
"(0.1, 0.2]",25,0.1450069628342172,0.48,bradley_terry_hfa
"(0.2, 0.3]",19,0.2543658308333714,0.631578947368421,bradley_terry_hfa
"(0.3, 0.4]",6,0.3637171223148396,0.16666666666666666,bradley_terry_hfa
"(0.4, 0.5]",13,0.4571649554630732,0.8461538461538461,bradley_terry_hfa
"(0.5, 0.6]",23,0.5557872314786106,0.5217391304347826,bradley_terry_hfa
"(0.6, 0.7]",25,0.6456802260770244,0.52,bradley_terry_hfa
"(0.7, 0.8]",15,0.7708444389976493,0.6666666666666666,bradley_terry_hfa
"(0.8, 0.9]",24,0.8433135846637893,0.75,bradley_terry_hfa
"(0.9, 1.0]",103,0.9737872123990639,0.7718446601941747,bradley_terry_hfa
