bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",31,0.04734688758393547,0.25806451612903225,elo
"(0.1, 0.2]",53,0.15304426815370334,0.3018867924528302,elo
"(0.2, 0.3]",84,0.25110051500096475,0.38095238095238093,elo
"(0.3, 0.4]",78,0.35159079926365205,0.41025641025641024,elo
"(0.4, 0.5]",96,0.4514352645283393,0.5,elo
"(0.5, 0.6]",128,0.5525563136446351,0.5859375,elo
"(0.6, 0.7]",128,0.6494726944937218,0.5625,elo
"(0.7, 0.8]",102,0.7533873660325834,0.6176470588235294,elo
"(0.8, 0.9]",105,0.8470158389914078,0.7714285714285715,elo
"(0.9, 1.0]",57,0.9508546505175673,0.7543859649122807,elo
