bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",25,0.06816923269487248,0.26,elo
"(0.1, 0.2]",45,0.14653918034632954,0.3333333333333333,elo
"(0.2, 0.3]",41,0.24653311226405758,0.5,elo
"(0.3, 0.4]",32,0.3625097610318457,0.375,elo
"(0.4, 0.5]",46,0.4466854778591331,0.4891304347826087,elo
"(0.5, 0.6]",55,0.550856918150697,0.4636363636363636,elo
"(0.6, 0.7]",58,0.6513789071570927,0.5258620689655172,elo
"(0.7, 0.8]",43,0.7527082691835162,0.5465116279069767,elo
"(0.8, 0.9]",68,0.8542957729199787,0.7352941176470589,elo
"(0.9, 1.0]",71,0.9531709737438154,0.8309859154929577,elo
