bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",506,0.00884407272861594,0.466403162055336,bradley_terry_hfa
"(0.1, 0.2]",47,0.1464764741531842,0.3829787234042553,bradley_terry_hfa
"(0.2, 0.3]",28,0.2339394729099989,0.5357142857142857,bradley_terry_hfa
"(0.3, 0.4]",23,0.347032682499949,0.5652173913043478,bradley_terry_hfa
"(0.4, 0.5]",24,0.44652927631232037,0.6666666666666666,bradley_terry_hfa
"(0.5, 0.6]",26,0.5432239759573052,0.6538461538461539,bradley_terry_hfa
"(0.6, 0.7]",19,0.6513844223771819,0.8947368421052632,bradley_terry_hfa
"(0.7, 0.8]",24,0.751018978147953,0.7083333333333334,bradley_terry_hfa
"(0.8, 0.9]",35,0.8576881293314378,0.7142857142857143,bradley_terry_hfa
"(0.9, 1.0]",130,0.9751243271089207,0.7384615384615385,bradley_terry_hfa
