bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",52,0.0280916747584955,0.34615384615384615,toor
"(0.1, 0.2]",56,0.15364957817310304,0.30357142857142855,toor
"(0.2, 0.3]",74,0.24980802260436186,0.36486486486486486,toor
"(0.3, 0.4]",75,0.35369071330357793,0.41333333333333333,toor
"(0.4, 0.5]",90,0.44730082349551903,0.5222222222222223,toor
"(0.5, 0.6]",119,0.5496455962765254,0.5546218487394958,toor
"(0.6, 0.7]",107,0.6483193223451715,0.6074766355140186,toor
"(0.7, 0.8]",111,0.7520095054963135,0.6486486486486487,toor
"(0.8, 0.9]",90,0.8480392328186621,0.7666666666666667,toor
"(0.9, 1.0]",88,0.9663616031410119,0.6590909090909091,toor
