date,games,log_loss,brier_score,mae_margin,margin_games,model_id
2024-10-23,10.0,0.7862960486242787,0.29626072438708667,13.320874253017337,10.0,elo
2024-10-24,4.0,3.0432366366533463,0.3871452572226003,12.179020526308818,4.0,elo
2024-10-25,10.0,4.641428601262776,0.4683347142141394,15.951703155476812,10.0,elo
2024-10-26,10.0,1.273391538878346,0.3557311779223225,11.450648862498952,10.0,elo
2024-10-27,5.0,2.850124188003457,0.7360550628035153,20.826766740403915,5.0,elo
2024-10-28,11.0,1.1442434283027758,0.37281388903186685,7.504767206913973,11.0,elo
2024-10-29,4.0,0.724997525818042,0.26865010251518134,11.142809187419346,4.0,elo
2024-10-30,11.0,1.6323850084140261,0.4830400917111259,12.082323799094217,11.0,elo
2024-10-31,4.0,0.6693403720983339,0.2276303860811381,11.58913013327724,4.0,elo
2024-11-01,9.0,0.39964028366724724,0.12630236787330582,7.992863480186658,9.0,elo
2024-11-02,10.0,0.5680346108464509,0.1883236785006311,11.292034278777267,10.0,elo
2024-11-03,3.0,1.3429571175947892,0.5045965033820916,21.75421017929453,3.0,elo
2024-11-04,15.0,0.8357153002462242,0.30030518825234576,12.87006286014315,15.0,elo
2024-11-06,12.0,0.6729616792392257,0.23818351763040232,10.297782317212251,12.0,elo
2024-11-07,3.0,0.5389370721919523,0.174318081305585,15.476498958951424,3.0,elo
2024-11-08,13.0,0.4570567193497697,0.14440625142712862,12.36119100261726,13.0,elo
2024-11-09,4.0,0.7866082798289684,0.2900662162345065,11.537805375815681,4.0,elo
2024-11-10,11.0,0.7812129797899794,0.2785983456364746,12.81111856233203,11.0,elo
2024-11-11,5.0,0.43532394070501035,0.14533390363581436,7.88494471829365,5.0,elo
2024-11-12,8.0,0.8317749918817899,0.2686287477727976,11.311682448088117,8.0,elo
2024-11-13,11.0,0.6037971748168234,0.21884127566667402,8.989091820416158,11.0,elo
2024-11-14,1.0,1.0036415167768475,0.40126873596472606,4.797329803246798,1.0,elo
2024-11-15,12.0,0.5726296012241135,0.19598520470673977,6.973421528128735,12.0,elo
2024-11-16,5.0,0.2916571660702172,0.07906370005282484,7.980660285991432,5.0,elo
2024-11-17,10.0,0.6562360307512827,0.21437244812329664,10.552638999429382,10.0,elo
2024-11-18,8.0,1.1289563001074179,0.44144983654963565,12.257006530898202,8.0,elo
2024-11-19,6.0,0.7563813759834918,0.2839848592153941,12.735657243876068,6.0,elo
2024-11-20,8.0,0.37041466404538487,0.11949908841562924,9.633229989869015,8.0,elo
2024-11-21,4.0,0.9509349899159852,0.36200174280854025,5.427659977557927,4.0,elo
2024-11-22,8.0,0.5225480357004646,0.18296937936781582,11.601997734993814,8.0,elo
2024-11-23,7.0,1.110494417971866,0.4138737260475813,14.771883080043681,7.0,elo
2024-11-24,6.0,0.430868474181375,0.14468840487532808,9.208339532842608,6.0,elo
2024-11-25,9.0,0.6107174457953999,0.19619671138704034,14.536870645520045,9.0,elo
2024-11-26,5.0,0.587416728455807,0.19898010958716789,11.847733524103555,5.0,elo
2024-11-27,14.0,0.7529391752752247,0.2487009653145049,12.8867108105581,14.0,elo
2024-11-29,10.0,0.6556688522983887,0.2286091572229439,10.562928523466732,10.0,elo
2024-11-30,5.0,0.6536412078074931,0.2321918924069392,8.011982533961348,5.0,elo
2024-12-01,10.0,0.5232216440984004,0.17337214357878358,5.778084167994598,10.0,elo
2024-12-02,4.0,0.4618647220578658,0.15298053911446297,16.31244072798045,4.0,elo
2024-12-03,11.0,0.6026621747830944,0.2175277679718155,10.88524960786725,11.0,elo
2024-12-04,6.0,0.6267065354814072,0.2275802082656926,18.558447801008466,6.0,elo
2024-12-05,8.0,0.5583888674528263,0.19288487086493153,12.88045767447263,8.0,elo
2024-12-06,7.0,1.0435025322953655,0.40375981814807327,20.26439209438207,7.0,elo
2024-12-07,7.0,0.8602086421976104,0.31956842750824693,10.46855503187803,7.0,elo
2024-12-08,12.0,0.6742880909631804,0.24271593381842596,12.970143464132724,12.0,elo
2024-12-09,1.0,0.29524239041565925,0.06535633858905543,2.698652827312494,1.0,elo
2024-12-10,2.0,0.679913510999125,0.24434800880418803,8.793608858893581,2.0,elo
2024-12-11,2.0,0.7619780962439409,0.28235601572957975,7.90082961428924,2.0,elo
2024-12-12,3.0,0.220264989911421,0.04169894751348607,5.238360987337179,3.0,elo
2024-12-13,8.0,0.42802889987750525,0.13249628210109762,8.983119350957509,8.0,elo
2024-12-14,2.0,0.4910903767894551,0.15170920262010576,8.219385789539356,2.0,elo
2024-12-15,7.0,0.5686739188356287,0.20145937418975007,8.168797456854264,7.0,elo
2024-12-16,6.0,0.5373985942504623,0.1824539571580053,10.67477549882149,6.0,elo
2024-12-17,1.0,1.5072742920201567,0.6060421097202484,24.64228352606187,1.0,elo
2024-12-19,13.0,0.8841490879664357,0.3322134953063292,15.546380856490783,13.0,elo
2024-12-20,3.0,0.3260264704464859,0.07827658025769267,6.5506765802356695,3.0,elo
2024-12-21,12.0,0.5244673035263007,0.17735799674260147,10.079610402199732,12.0,elo
2024-12-22,3.0,0.3649793579546509,0.10794788067898314,14.25519384700528,3.0,elo
2024-12-23,14.0,0.5618486381510921,0.2011808341887266,9.305622165901571,14.0,elo
2024-12-25,5.0,1.0405284104529406,0.39265602873212746,9.59993772677994,5.0,elo
2024-12-26,9.0,0.6105479267084486,0.21537751023308127,5.149968139580404,9.0,elo
2024-12-27,8.0,0.5449848324126895,0.18265163214415456,11.839007734597033,8.0,elo
2024-12-28,9.0,0.5558733083409744,0.19011064804529432,6.197623465539202,9.0,elo
2024-12-29,6.0,0.7011165395752094,0.2481695072959665,12.532771582379139,6.0,elo
2024-12-30,7.0,0.44055493441994503,0.13878754958692197,9.605681461427906,7.0,elo
2024-12-31,6.0,0.433504175361705,0.1360442704843547,15.28766212593508,6.0,elo
2025-01-01,8.0,0.6357019507548035,0.23176078394461014,11.312970729701782,8.0,elo
2025-01-02,6.0,0.6765944095775008,0.24030428068268506,11.545825226806677,6.0,elo
2025-01-03,9.0,0.6071297296377055,0.21160149336984027,9.62736011951312,9.0,elo
2025-01-04,9.0,0.9325145656881444,0.35207642138859796,19.816922852327266,9.0,elo
2025-01-05,6.0,0.7996345336740566,0.2964618218384785,15.794232237718662,6.0,elo
2025-01-06,9.0,0.6363934287478898,0.2231619560793481,8.853687051018774,9.0,elo
2025-01-07,7.0,0.5798559085478565,0.20012756749391242,11.338811382154503,7.0,elo
