bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",25,0.06681963315924064,0.26,elo
"(0.1, 0.2]",46,0.14735507315026608,0.32608695652173914,elo
"(0.2, 0.3]",41,0.2454266129948405,0.5,elo
"(0.3, 0.4]",34,0.3635107345832336,0.4117647058823529,elo
"(0.4, 0.5]",43,0.44337265564311057,0.45348837209302323,elo
"(0.5, 0.6]",55,0.5466228470418859,0.4818181818181818,elo
"(0.6, 0.7]",62,0.6523576124004541,0.5241935483870968,elo
"(0.7, 0.8]",39,0.7551693497357923,0.5512820512820513,elo
"(0.8, 0.9]",69,0.8508775967118439,0.7391304347826086,elo
"(0.9, 1.0]",70,0.9526161519098116,0.8285714285714286,elo
