bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",39,0.047623321557323794,0.3333333333333333,elo
"(0.1, 0.2]",57,0.15725754738006023,0.2982456140350877,elo
"(0.2, 0.3]",79,0.25430581745731645,0.3670886075949367,elo
"(0.3, 0.4]",84,0.3483850616296242,0.40476190476190477,elo
"(0.4, 0.5]",88,0.44993222437489905,0.5340909090909091,elo
"(0.5, 0.6]",133,0.5449403566829076,0.6015037593984962,elo
"(0.6, 0.7]",120,0.6482282914625616,0.525,elo
"(0.7, 0.8]",111,0.7493886134115383,0.6666666666666666,elo
"(0.8, 0.9]",98,0.8505724124836426,0.7551020408163265,elo
"(0.9, 1.0]",53,0.9509541938280973,0.7358490566037735,elo
