bucket,count,avg_pred,avg_actual,model_id
"(-0.001, 0.1]",29,0.04734790555245017,0.27586206896551724,elo
"(0.1, 0.2]",46,0.15392019741300897,0.2608695652173913,elo
"(0.2, 0.3]",74,0.2517686476307682,0.40540540540540543,elo
"(0.3, 0.4]",92,0.3511604609803691,0.3804347826086957,elo
"(0.4, 0.5]",88,0.4475490534297146,0.45454545454545453,elo
"(0.5, 0.6]",136,0.5472857572596503,0.625,elo
"(0.6, 0.7]",120,0.6517905385269833,0.5416666666666666,elo
"(0.7, 0.8]",123,0.7544518317109712,0.6422764227642277,elo
"(0.8, 0.9]",89,0.8512738500342151,0.7415730337078652,elo
"(0.9, 1.0]",65,0.9514248801995339,0.7692307692307693,elo
